id	title	price	size	time	rating	reviews	features	cover	description
3922378427824210	Warplanes: WW1 Fighters	14.99	287.5	1615379863.0	5	439	arcade,flying,simulation,single user,multiplayer	https://scontent.oculuscdn.com/v/t64.5771-25/q92/s720x720/75393561_412724359800835_4039381724822969_n.jpg?_nc_cat=103&ccb=1-3&_nc_sid=79b88e&_nc_ohc=B-Nt-ALXkpAAX_SG4Ef&_nc_ht=scontent.oculuscdn.com&tp=28&oh=1e9912e80a9ce7f4c2d19ddc1c69f299&oe=60C88A2F	Become a pilot! Immerse in WW1 aerial combat like never before in a captivating VR experience. Be a pilot during the Great War in Warplanes: WW1 Fighters. No matter whether you prefer arcade games or flight simulators – a variety…
3594052014036763	The Fight	4.99	1116.16	1615538608.0	4	16	action,fighting,sports,single user	https://scontent.oculuscdn.com/v/t64.5771-25/q92/s720x720/75245824_260509112131422_527102674683148161_n.jpg?_nc_cat=106&ccb=1-3&_nc_sid=79b88e&_nc_ohc=VS7ZABPZgCoAX9f7njT&_nc_ht=scontent.oculuscdn.com&tp=28&oh=470a0a4810969fc546c47e1ac7a451d0&oe=60C7E77F	The Fight is VR fighting game, where you can fight as a boxer or a street fighter against various opponents. You can also train at the virtual boxing gym on:<br>-heavy bag<br>-speed bag<br>-dummy bag<br>-focus bag<br>-boxing bar<br>-boxing machine <br>-pads
2465388190184288	MarineVerse Cup	19.99	2088.96	1612433117.0	5	63	racing,simulation,sports,single user,multiplayer	https://scontent.oculuscdn.com/v/t64.5771-25/q92/s720x720/75240108_153193406446376_3520378992394748997_n.jpg?_nc_cat=107&ccb=1-3&_nc_sid=79b88e&_nc_ohc=qI-9NdoWnBkAX8l4e-w&_nc_ht=scontent.oculuscdn.com&tp=28&oh=1a94cb543742ccfb91353a760883c78e&oe=60C81F4A	Learn to sail, race in iconic sailing locations, try & master various sailboats.<br>MarineVerse Cup is a competitive VR sailing racing game, that is approachable, but authentic.<br>We designed MarineVerse Cup for people who enjoy simulation games and want to test their…
4953281048076710	Solicitude Wake-up	4.99	442.1	1615455939.0	4	6	adventure,horror,strategy,single user	https://scontent.oculuscdn.com/v/t64.5771-25/q92/s720x720/38984464_2289343681210331_5257796579172499052_n.jpg?_nc_cat=109&ccb=1-3&_nc_sid=79b88e&_nc_ohc=R5pzMVzTbOoAX_fdIoF&_nc_ht=scontent.oculuscdn.com&tp=28&oh=38322917dd5c452e1c886ef6dd1b247c&oe=60C84A27	Solicitude Wake-up takes you to seemingly abandoned research facility. You wake-up in a dark operating room, laying down on operating table. As you start finding your way out from the facility, you start to hear voices coming from other parts…
3803394369682937	Cover Drive Cricket Demo	0	278.9	1615540113.0	4	13	simulation,sports,single user	https://scontent.oculuscdn.com/v/t64.5771-25/q92/s720x720/75196227_2894121890913307_795709165729929443_n.jpg?_nc_cat=110&ccb=1-3&_nc_sid=79b88e&_nc_ohc=CakVuHkM27IAX_-MSt8&_nc_ht=scontent.oculuscdn.com&tp=28&oh=d989963c11de34226196b344fc6befbf&oe=60C95987	Missing cricket and wanting to be back at the crease? Cover Drive Cricket puts you at the heart of the action! Play through several different game modes as you test your skills and try to survive against a wide variety…
3077598929010226	Nanome	0	509.7	1615672011.0	4	6	educational,productivity,utility,multiplayer,single user,co-op	https://scontent.oculuscdn.com/v/t64.5771-25/q92/s720x720/39031340_124753369511642_2743010614300939823_n.jpg?_nc_cat=106&ccb=1-3&_nc_sid=79b88e&_nc_ohc=F83J0LqXvfAAX_Wr45-&_nc_ht=scontent.oculuscdn.com&tp=28&oh=ea847848f5ddf0b81fb1667415a2c880&oe=60C8B975	Nanome - Your Home for Nanoscale Design<br>Imagine a future where chemistry and the molecules are no longer difficult to understand. Nanome enables you to build your own molecular structures or explore the intricacies of a DNA strand or understand what…
3438333449611263	MultiBrush	0	421.5	1614244593.0	5	52	art/creativity,casual,social,multiplayer	https://scontent.oculuscdn.com/v/t64.5771-25/q92/s720x720/39036675_892764201491459_5997483681909601824_n.jpg?_nc_cat=108&ccb=1-3&_nc_sid=79b88e&_nc_ohc=T_LZg9AbfKgAX_CqpF5&_nc_ht=scontent.oculuscdn.com&tp=28&oh=96f19322334bedbf8b9b34206c6f021c&oe=60C78543	MultiBrush is a multiplayer implementation of the open source code for Tilt Brush. Now you can play, create, and enjoy art - with friends!<br>This is a first release, some things may not work perfectly and we are still implementing some…
3497148190407250	Simple Theremin	0	203.7	1615918704.0	4	11	educational,music,utility,single user	https://scontent.oculuscdn.com/v/t64.5771-25/q92/s720x720/38974864_433263598120058_2093860942914772086_n.jpg?_nc_cat=106&ccb=1-3&_nc_sid=79b88e&_nc_ohc=CgyLMASQ9M8AX_OGxjx&_nc_ht=scontent.oculuscdn.com&tp=28&oh=c00bbbc7f9f0b575ca3f0561b582c4d2&oe=60C8690B	Simple Theremin is a musical instrument simulation that allows musicians to play a virtual Theremin using hand tracking as well as their touch controllers. <br>With a variety of four different waveforms to choose from and reverb adjustment, you can create…
3982869578392875	Gun Raiders	0	346.1	1615360240.0	5	213	action,shooter,multiplayer,co-op	https://scontent.oculuscdn.com/v/t64.5771-25/q92/s720x720/57575357_255178206109241_4795001630032189539_n.jpg?_nc_cat=103&ccb=1-3&_nc_sid=79b88e&_nc_ohc=5iTyTT-SCagAX8j13H1&_nc_ht=scontent.oculuscdn.com&tp=28&oh=ce39279f4f02c56366549d4db42f74fb&oe=60C87335	Gun Raiders is a free-to-play VR shooter for all ages to easily jump in and enjoy. Join multiplayer lobbies with friends, communicate via voice chat and battle your opponents in multiple game modes using a large selection of weapons. Whether…
3485430611585621	Evryway Visualiser	4.99	134.9	1615552415.0	5	9	media player,music,relaxation/meditation,single user	https://scontent.oculuscdn.com/v/t64.5771-25/q92/s720x720/38974503_107163881287687_8499619868708754912_n.jpg?_nc_cat=111&ccb=1-3&_nc_sid=79b88e&_nc_ohc=scNYACJ4cwAAX_zoXFV&_nc_ht=scontent.oculuscdn.com&tp=28&oh=22e35dbbc0e1e47c0e9114b4c2d3bc71&oe=60C7CF06	Sit back, relax, and listen to your favorite music. Let the audio reactive visuals surround you.<br>Play any audio track on your Quest.<br>Loads of different effects.<br>Play any audio track from DLNA media servers on your network (including Plex, Synology, QNAP and…
